"Category","Product","Description","Link"
"Analytics","AWS Data Pipeline","Orchestration Service for Periodic, Data-driven Workflows","https://aws.amazon.com/datapipeline/?c=1&pt=8"
"Analytics","AWS Glue","Prepare and Load Data","https://aws.amazon.com/glue/?c=1&pt=9"
"Analytics","AWS Lake Formation","Build a secure data lake in days","https://aws.amazon.com/lake-formation/?c=1&pt=11"
"Analytics","Amazon Athena","Query Data in S3 using SQL","https://aws.amazon.com/athena/?c=1&pt=1"
"Analytics","Amazon CloudSearch","Managed Search Service","https://aws.amazon.com/cloudsearch/?c=1&pt=2"
"Analytics","Amazon EMR","Hosted Hadoop Framework","https://aws.amazon.com/elasticmapreduce/?c=1&pt=4"
"Analytics","Amazon Elasticsearch Service","Run and Scale Elasticsearch Clusters","https://aws.amazon.com/elasticsearch-service/?c=1&pt=3"
"Analytics","Amazon Kinesis","Work with Real-time Streaming Data","https://aws.amazon.com/kinesis/?c=1&pt=5"
"Analytics","Amazon Managed Streaming for Kafka","Fully managed Apache Kafka service","https://aws.amazon.com/msk/?c=1&pt=10"
"Analytics","Amazon Quicksight","Fast Business Analytics Service","https://aws.amazon.com/quicksight/?c=1&pt=7"
"Analytics","Amazon Redshift","Fast, Simple, Cost-effective Data Warehousing","https://aws.amazon.com/redshift/?c=1&pt=6"
"Application Integration","AWS Step Functions","Coordinate Distributed Applications","https://aws.amazon.com/step-functions/?c=2&pt=1"
"Application Integration","Amazon AppSync","Build data-driven apps with real-time and offline capabilities","https://aws.amazon.com/appsync/?c=2&pt=5"
"Application Integration","Amazon MQ","Managed Message Broker for ActiveMQ","https://aws.amazon.com/amazon-mq/?c=2&pt=4"
"Application Integration","Amazon Simple Notification Service (SNS)","Pub/Sub, Mobile Push and SMS","https://aws.amazon.com/sns/?c=2&pt=3"
"Application Integration","Amazon Simple Queue Service (SQS)","Managed Message Queues","https://aws.amazon.com/sqs/?c=2&pt=2"
"AR & VR","Amazon Sumerian","Build and Run VR and AR Applications","https://aws.amazon.com/sumerian/?c=3&pt=1"
"AWS Cost Management","AWS Budgets","Set Custom Cost and Usage Budgets","https://aws.amazon.com/aws-cost-management/aws-budgets/?c=4&pt=2"
"AWS Cost Management","AWS Cost Explorer","Analyze Your AWS Cost and Usage","https://aws.amazon.com/aws-cost-management/aws-cost-explorer/?c=4&pt=1"
"AWS Cost Management","AWS Cost and Usage Report","Access Comprehensive Cost and Usage Information","https://aws.amazon.com/aws-cost-management/aws-cost-and-usage-reporting/?c=4&pt=4"
"AWS Cost Management","Reserved Instance Reporting","Dive Deeper into Your Reserved Instances (RIs)","https://aws.amazon.com/aws-cost-management/reserved-instance-reporting/?c=4&pt=3"
"Blockchain","Amazon Managed Blockchain","Create and manage scalable blockchain networks","https://aws.amazon.com/blockchain/?c=5&pt=1"
"Blockchain","Amazon Quantum Ledger Database (QLDB)","Fully managed ledger database","https://aws.amazon.com/qldb/?c=5&pt=2"
"Business Applications","Alexa for Business","Empower your Organization with Alexa","https://aws.amazon.com/alexaforbusiness/?c=6&pt=1"
"Business Applications","Amazon Chime","Frustration-free Meetings, Video Calls, and Chat","https://aws.amazon.com/chime/?c=6&pt=2"
"Business Applications","Amazon WorkDocs","Enterprise Storage and Sharing Service","https://aws.amazon.com/workdocs/?c=6&pt=3"
"Business Applications","Amazon WorkMail","Secure and Managed Business Email and Calendaring","https://aws.amazon.com/workmail/?c=6&pt=4"
"Compute","AWS Batch","Run Batch Jobs at Any Scale","https://aws.amazon.com/batch/?c=7&pt=7"
